,Factor1,Factor2,Factor3
3059-bus,-2.04,0.27,-0.85
10253-bus,-1.74,0.29,-1.01
10235-bus,-0.88,0.18,-1.03
10226-bus,-1.70,0.29,-1.02
10233-bus,-0.90,0.17,-1.01
11843-bus,0.71,-0.26,0.66
10206-bus,-1.49,0.15,-0.69
10200-bus,-1.75,0.29,-1.00
6673-bus,-1.10,-0.47,1.13
6954-bus,-1.45,-0.35,1.00
6903-bus,-1.55,-0.35,0.99
7021-bus,-0.11,-0.28,0.23
7080-bus,0.71,-0.10,-0.59
7261-bus,0.74,0.05,-1.05
7340-bus,0.03,-0.10,-0.33
7277-bus,0.74,0.01,-0.94
6874-bus,-0.74,-0.40,0.82
6720-bus,-0.21,-0.35,0.42
6949-bus,0.09,-0.34,0.33
7113-bus,0.82,-0.04,-0.82
6618-bus,-0.03,-0.31,0.23
7041-bus,0.65,-0.22,-0.24
7087-bus,-1.04,-0.58,1.31
7495-bus,-0.34,-0.25,0.29
7077-bus,-1.01,-0.49,1.07
6528-bus,0.12,-0.29,0.11
6897-bus,0.17,-0.50,0.64
7198-bus,0.78,0.01,-0.95
6649-bus,-1.13,-0.51,1.26
6285-bus,-0.02,-0.39,0.42
6816-bus,-1.28,-0.18,0.31
6844-bus,-1.42,-0.31,0.80
6850-bus,-0.98,-0.46,1.05
7101-bus,0.95,-0.12,-0.64
6871-bus,0.04,-0.50,0.73
7084-bus,0.39,-0.31,0.08
7175-bus,0.80,-0.06,-0.76
2992-bus,-1.81,0.28,-0.96
2986-bus,-1.78,0.29,-1.02
10196-bus,-1.75,0.29,-1.00
3106-bus,-1.59,0.27,-1.05
3064-bus,-1.98,0.28,-0.89
3080-bus,-1.96,0.26,-0.85
3091-bus,-1.96,0.24,-0.80
3061-bus,-1.98,0.28,-0.89
3098-bus,-1.99,0.24,-0.79
11308-bus,-1.97,0.28,-0.90
12302-bus,0.34,0.04,-0.06
12375-bus,0.28,0.01,0.03
12606-bus,0.28,-0.11,0.26
12480-bus,1.18,-0.01,-0.35
12597-bus,1.13,-0.06,-0.23
12585-bus,1.53,-0.02,-0.49
3497-bus,-1.37,0.16,-0.83
12654-bus,0.60,-0.10,0.10
3124-bus,-1.58,0.25,-0.99
3142-bus,-1.68,0.15,-0.63
3131-bus,-1.94,0.09,-0.35
3148-bus,-1.84,0.22,-0.77
3924-bus,-1.55,0.27,-1.01
10181-bus,-1.41,0.19,-0.84
3137-bus,-1.67,0.22,-0.85
3960-bus,-1.76,0.29,-1.02
3891-bus,-1.59,0.27,-1.01
3961-bus,-1.76,0.29,-1.02
3134-bus,-1.52,0.23,-0.96
3208-bus,-1.90,0.24,-0.82
12292-bus,-1.91,0.14,-0.51
3930-bus,-1.36,0.29,-1.18
3140-bus,-1.53,0.21,-0.89
3933-bus,-1.38,0.25,-1.05
12291-bus,-1.86,0.16,-0.61
3380-bus,-0.41,0.26,-1.50
18-bus,-1.87,0.14,-0.53
3143-bus,-1.69,0.25,-0.93
3904-bus,-1.50,0.27,-1.04
12306-bus,-1.86,0.16,-0.58
3963-bus,-1.56,0.28,-1.08
12303-bus,-1.82,0.15,-0.57
12771-bus,-1.88,0.25,-0.87
11173-bus,-1.96,0.28,-0.91
3145-bus,-1.54,0.22,-0.91
3286-bus,-1.90,0.24,-0.83
12295-bus,-1.90,0.15,-0.55
11053-bus,-1.89,0.24,-0.83
10179-bus,-1.38,0.22,-0.94
3329-bus,-1.89,0.25,-0.85
3023-bus,-1.83,0.29,-0.99
3966-bus,-1.27,-0.05,-0.24
3958-bus,-1.57,0.28,-1.09
3964-bus,-1.48,0.13,-0.69
12301-bus,-1.80,0.18,-0.66
11406-bus,-1.96,0.28,-0.90
11404-bus,-1.96,0.28,-0.90
11137-bus,-1.93,0.28,-0.93
2977-bus,-1.63,0.27,-1.01
3969-bus,-0.73,-0.13,-0.23
4034-bus,-1.85,0.12,-0.48
11077-bus,-1.95,0.25,-0.81
3967-bus,-1.21,0.02,-0.47
2978-bus,-1.60,0.27,-1.02
2902-bus,-1.39,0.24,-1.02
4052-bus,-1.69,0.11,-0.52
12300-bus,-1.81,0.20,-0.72
11123-bus,-1.93,0.28,-0.93
2980-bus,-1.44,0.28,-1.12
2898-bus,-2.20,0.25,-0.72
3982-bus,-0.56,0.14,-1.07
3979-bus,-0.55,0.13,-1.05
2919-bus,-2.18,0.25,-0.73
3988-bus,-1.59,0.30,-1.11
3984-bus,-0.92,0.15,-0.98
3981-bus,-0.40,0.13,-1.12
2889-bus,-1.32,0.25,-1.09
11072-bus,-1.92,0.28,-0.94
3978-bus,-0.44,0.07,-0.93
3972-bus,-0.47,0.02,-0.78
3990-bus,-1.62,0.29,-1.09
3001-bus,-1.68,0.29,-1.05
3976-bus,-0.41,0.10,-1.03
2892-bus,-1.26,0.26,-1.14
3985-bus,-1.18,0.18,-0.95
12283-bus,-2.01,0.23,-0.74
11065-bus,-0.75,0.23,-1.25
3022-bus,-1.92,0.26,-0.86
3017-bus,-1.86,0.25,-0.85
12298-bus,-1.87,-0.03,0.00
3987-bus,-1.08,0.27,-1.27
3975-bus,-1.02,0.15,-0.93
3970-bus,-1.42,0.13,-0.71
12297-bus,-1.84,0.01,-0.13
12294-bus,-1.86,-0.02,-0.03
3973-bus,-0.62,0.17,-1.14
12288-bus,-2.11,0.00,-0.01
12286-bus,-1.74,0.09,-0.42
11075-bus,-1.92,0.27,-0.89
2996-bus,-1.64,0.28,-1.04
3391-bus,-2.32,-0.29,0.91
3016-bus,-1.57,0.26,-0.99
3002-bus,-2.01,0.22,-0.72
6883-bus,-0.27,-0.45,0.70
